"worker_id","worker_name","trade","daily_rate","skill_level","employment_type"
40001,Worker_1,Mason,7862,Junior,Permanent
40002,Worker_2,Plumber,5993,Expert,Permanent
40003,Worker_3,Mason,9140,Intermediate,Contract
40004,Worker_4,Mason,8599,Senior,Permanent
40005,Worker_5,Carpenter,8844,Expert,Contract
40006,Worker_6,Operator,3516,Junior,Permanent
40007,Worker_7,Plumber,6354,Junior,Permanent
40008,Worker_8,Mason,2092,Senior,Permanent
40009,Worker_9,Plumber,9335,Intermediate,Permanent
40010,Worker_10,Mason,9416,Expert,Permanent
40011,Worker_11,Welder,5771,Senior,Contract
40012,Worker_12,Carpenter,5596,Senior,Permanent
40013,Worker_13,Welder,8288,Junior,Permanent
40014,Worker_14,Plumber,3566,Intermediate,Permanent
40015,Worker_15,Carpenter,3370,Expert,Contract
40016,Worker_16,Plumber,4482,Expert,Permanent
40017,Worker_17,Carpenter,4696,Expert,Contract
40018,Worker_18,Operator,4322,Expert,Contract
40019,Worker_19,Operator,4146,Expert,Contract
40020,Worker_20,Welder,9120,Intermediate,Permanent
40021,Worker_21,Carpenter,6311,Expert,Contract
40022,Worker_22,Plumber,7783,Intermediate,Permanent
40023,Worker_23,Welder,4051,Expert,Permanent
40024,Worker_24,Operator,8063,Intermediate,Contract
40025,Worker_25,Carpenter,2725,Senior,Permanent
40026,Worker_26,Mason,6794,Intermediate,Permanent
40027,Worker_27,Carpenter,3969,Senior,Permanent
40028,Worker_28,Mason,6978,Intermediate,Contract
40029,Worker_29,Mason,3681,Junior,Contract
40030,Worker_30,Mason,4737,Senior,Contract
40031,Worker_31,Mason,9956,Senior,Contract
40032,Worker_32,Plumber,7501,Intermediate,Contract
40033,Worker_33,Operator,2505,Junior,Permanent
40034,Worker_34,Painter,6137,Senior,Contract
40035,Worker_35,Plumber,6909,Expert,Permanent
40036,Worker_36,Plumber,5461,Intermediate,Contract
40037,Worker_37,Operator,6403,Junior,Permanent
40038,Worker_38,Carpenter,4963,Junior,Contract
40039,Worker_39,Operator,5296,Junior,Permanent
40040,Worker_40,Plumber,7410,Junior,Contract
40041,Worker_41,Operator,5887,Intermediate,Permanent
40042,Worker_42,Operator,3018,Expert,Permanent
40043,Worker_43,Carpenter,8503,Intermediate,Contract
40044,Worker_44,Plumber,7938,Senior,Contract
40045,Worker_45,Welder,5565,Expert,Contract
40046,Worker_46,Operator,6451,Intermediate,Contract
40047,Worker_47,Painter,8684,Intermediate,Permanent
40048,Worker_48,Mason,8222,Senior,Contract
40049,Worker_49,Operator,5850,Junior,Permanent
40050,Worker_50,Mason,4372,Intermediate,Contract
40051,Worker_51,Electrician,2711,Intermediate,Contract
40052,Worker_52,Electrician,9977,Senior,Contract
40053,Worker_53,Carpenter,6152,Senior,Contract
40054,Worker_54,Carpenter,6989,Senior,Permanent
40055,Worker_55,Painter,6480,Senior,Contract
40056,Worker_56,Carpenter,3433,Senior,Permanent
40057,Worker_57,Welder,6162,Expert,Contract
40058,Worker_58,Welder,7329,Expert,Contract
40059,Worker_59,Welder,2988,Intermediate,Contract
40060,Worker_60,Carpenter,6700,Intermediate,Permanent
40061,Worker_61,Electrician,9505,Expert,Permanent
40062,Worker_62,Painter,9322,Intermediate,Contract
40063,Worker_63,Operator,6889,Expert,Contract
40064,Worker_64,Plumber,4458,Intermediate,Permanent
40065,Worker_65,Operator,4770,Senior,Permanent
40066,Worker_66,Painter,6199,Junior,Contract
40067,Worker_67,Painter,6034,Intermediate,Contract
40068,Worker_68,Mason,6971,Junior,Contract
40069,Worker_69,Operator,9040,Senior,Permanent
40070,Worker_70,Painter,3846,Expert,Contract
40071,Worker_71,Mason,7994,Expert,Contract
40072,Worker_72,Plumber,6914,Junior,Permanent
40073,Worker_73,Mason,4620,Intermediate,Permanent
40074,Worker_74,Carpenter,3808,Intermediate,Contract
40075,Worker_75,Mason,8143,Expert,Contract
40076,Worker_76,Carpenter,8891,Intermediate,Contract
40077,Worker_77,Mason,7942,Junior,Contract
40078,Worker_78,Mason,8272,Expert,Contract
40079,Worker_79,Carpenter,2856,Senior,Permanent
40080,Worker_80,Painter,9762,Junior,Permanent
40081,Worker_81,Electrician,2144,Intermediate,Permanent
40082,Worker_82,Electrician,9020,Intermediate,Contract
40083,Worker_83,Welder,3920,Junior,Contract
40084,Worker_84,Plumber,2574,Expert,Permanent
40085,Worker_85,Operator,4182,Junior,Permanent
40086,Worker_86,Welder,3273,Intermediate,Contract
40087,Worker_87,Electrician,7168,Intermediate,Contract
40088,Worker_88,Welder,8590,Intermediate,Permanent
40089,Worker_89,Plumber,5358,Junior,Contract
40090,Worker_90,Electrician,5347,Expert,Permanent
40091,Worker_91,Operator,8245,Senior,Permanent
40092,Worker_92,Mason,8919,Senior,Contract
40093,Worker_93,Carpenter,5638,Senior,Contract
40094,Worker_94,Electrician,2042,Junior,Permanent
40095,Worker_95,Welder,6092,Junior,Contract
40096,Worker_96,Mason,9644,Senior,Permanent
40097,Worker_97,Electrician,3595,Expert,Permanent
40098,Worker_98,Mason,7851,Intermediate,Contract
40099,Worker_99,Carpenter,5919,Senior,Contract
40100,Worker_100,Operator,9499,Junior,Contract
40101,Worker_101,Mason,6447,Senior,Contract
40102,Worker_102,Welder,8438,Junior,Permanent
40103,Worker_103,Operator,8425,Intermediate,Permanent
40104,Worker_104,Operator,3187,Intermediate,Contract
40105,Worker_105,Plumber,8166,Junior,Permanent
40106,Worker_106,Electrician,5089,Expert,Permanent
40107,Worker_107,Electrician,4435,Intermediate,Contract
40108,Worker_108,Welder,5097,Intermediate,Permanent
40109,Worker_109,Painter,7958,Junior,Contract
40110,Worker_110,Operator,5206,Intermediate,Contract
40111,Worker_111,Electrician,8470,Junior,Permanent
40112,Worker_112,Welder,4486,Junior,Contract
40113,Worker_113,Carpenter,4380,Expert,Contract
40114,Worker_114,Painter,8076,Junior,Contract
40115,Worker_115,Carpenter,6912,Senior,Contract
40116,Worker_116,Carpenter,6701,Intermediate,Contract
40117,Worker_117,Mason,5318,Junior,Permanent
40118,Worker_118,Carpenter,8142,Junior,Permanent
40119,Worker_119,Painter,5696,Senior,Contract
40120,Worker_120,Electrician,2982,Senior,Contract
40121,Worker_121,Carpenter,8070,Junior,Contract
40122,Worker_122,Mason,7821,Intermediate,Permanent
40123,Worker_123,Painter,2202,Intermediate,Permanent
40124,Worker_124,Operator,2970,Senior,Permanent
40125,Worker_125,Operator,5907,Senior,Permanent
40126,Worker_126,Carpenter,6689,Expert,Contract
40127,Worker_127,Welder,7092,Junior,Permanent
40128,Worker_128,Painter,9455,Expert,Contract
40129,Worker_129,Welder,4361,Junior,Permanent
40130,Worker_130,Operator,2829,Junior,Permanent
40131,Worker_131,Mason,6020,Intermediate,Contract
40132,Worker_132,Operator,4418,Intermediate,Permanent
40133,Worker_133,Operator,9144,Senior,Contract
40134,Worker_134,Carpenter,2954,Senior,Contract
40135,Worker_135,Carpenter,7913,Junior,Contract
40136,Worker_136,Mason,7517,Intermediate,Contract
40137,Worker_137,Painter,2265,Senior,Permanent
40138,Worker_138,Carpenter,9440,Expert,Permanent
40139,Worker_139,Plumber,5695,Senior,Contract
40140,Worker_140,Electrician,2201,Expert,Contract
40141,Worker_141,Plumber,4771,Junior,Permanent
40142,Worker_142,Electrician,7197,Intermediate,Contract
40143,Worker_143,Mason,5873,Junior,Contract
40144,Worker_144,Electrician,7342,Senior,Permanent
40145,Worker_145,Carpenter,6753,Intermediate,Permanent
40146,Worker_146,Operator,3290,Expert,Contract
40147,Worker_147,Carpenter,3813,Expert,Permanent
40148,Worker_148,Mason,3009,Expert,Contract
40149,Worker_149,Plumber,2128,Senior,Permanent
40150,Worker_150,Plumber,4440,Junior,Permanent
40151,Worker_151,Mason,7923,Intermediate,Contract
40152,Worker_152,Electrician,4337,Expert,Permanent
40153,Worker_153,Welder,6022,Junior,Permanent
40154,Worker_154,Operator,7466,Expert,Permanent
40155,Worker_155,Electrician,5810,Expert,Permanent
40156,Worker_156,Carpenter,7225,Expert,Permanent
40157,Worker_157,Painter,9930,Expert,Contract
40158,Worker_158,Mason,8504,Senior,Contract
40159,Worker_159,Carpenter,6453,Senior,Permanent
40160,Worker_160,Welder,4002,Intermediate,Contract
40161,Worker_161,Mason,3426,Intermediate,Permanent
40162,Worker_162,Plumber,4067,Expert,Permanent
40163,Worker_163,Plumber,9723,Senior,Contract
40164,Worker_164,Mason,6260,Senior,Contract
40165,Worker_165,Plumber,3631,Expert,Contract
40166,Worker_166,Operator,2311,Junior,Permanent
40167,Worker_167,Mason,5136,Senior,Contract
40168,Worker_168,Carpenter,9269,Expert,Contract
40169,Worker_169,Electrician,3551,Senior,Permanent
40170,Worker_170,Painter,9398,Senior,Permanent
40171,Worker_171,Welder,3378,Senior,Permanent
40172,Worker_172,Electrician,8789,Expert,Permanent
40173,Worker_173,Plumber,7800,Intermediate,Permanent
40174,Worker_174,Painter,6136,Senior,Permanent
40175,Worker_175,Electrician,7741,Senior,Permanent
40176,Worker_176,Mason,5869,Junior,Contract
40177,Worker_177,Welder,8794,Junior,Contract
40178,Worker_178,Mason,7725,Intermediate,Permanent
40179,Worker_179,Carpenter,3956,Intermediate,Contract
40180,Worker_180,Operator,7982,Junior,Permanent
40181,Worker_181,Mason,8253,Expert,Contract
40182,Worker_182,Electrician,3694,Expert,Permanent
40183,Worker_183,Painter,5402,Junior,Contract
40184,Worker_184,Welder,4563,Expert,Contract
40185,Worker_185,Operator,5501,Junior,Contract
40186,Worker_186,Electrician,8579,Intermediate,Permanent
40187,Worker_187,Operator,6653,Expert,Permanent
40188,Worker_188,Mason,5482,Junior,Contract
40189,Worker_189,Welder,7573,Expert,Contract
40190,Worker_190,Carpenter,4673,Expert,Permanent
40191,Worker_191,Operator,8993,Expert,Contract
40192,Worker_192,Plumber,8143,Expert,Contract
40193,Worker_193,Carpenter,5819,Senior,Contract
40194,Worker_194,Welder,8206,Junior,Permanent
40195,Worker_195,Carpenter,4716,Expert,Permanent
40196,Worker_196,Painter,7572,Expert,Contract
40197,Worker_197,Mason,6893,Junior,Contract
40198,Worker_198,Electrician,3792,Senior,Permanent
40199,Worker_199,Electrician,6054,Junior,Permanent
40200,Worker_200,Carpenter,4030,Expert,Permanent
40201,Worker_201,Carpenter,2505,Senior,Permanent
40202,Worker_202,Operator,9590,Expert,Permanent
40203,Worker_203,Painter,2081,Senior,Permanent
40204,Worker_204,Carpenter,5778,Junior,Contract
40205,Worker_205,Operator,8337,Junior,Permanent
40206,Worker_206,Welder,8568,Expert,Permanent
40207,Worker_207,Operator,3025,Expert,Contract
40208,Worker_208,Plumber,3779,Junior,Permanent
40209,Worker_209,Painter,5941,Expert,Permanent
40210,Worker_210,Mason,7628,Junior,Contract
40211,Worker_211,Plumber,5204,Senior,Contract
40212,Worker_212,Carpenter,4275,Intermediate,Contract
40213,Worker_213,Operator,9907,Senior,Contract
40214,Worker_214,Mason,3300,Intermediate,Permanent
40215,Worker_215,Carpenter,2223,Intermediate,Contract
40216,Worker_216,Plumber,7720,Expert,Contract
40217,Worker_217,Operator,5137,Intermediate,Contract
40218,Worker_218,Carpenter,5819,Expert,Contract
40219,Worker_219,Painter,3330,Senior,Contract
40220,Worker_220,Operator,5051,Expert,Contract
40221,Worker_221,Plumber,7063,Expert,Permanent
40222,Worker_222,Painter,4521,Senior,Contract
40223,Worker_223,Operator,9814,Intermediate,Permanent
40224,Worker_224,Carpenter,5630,Junior,Contract
40225,Worker_225,Mason,7737,Expert,Permanent
40226,Worker_226,Mason,5954,Junior,Permanent
40227,Worker_227,Carpenter,7124,Senior,Contract
40228,Worker_228,Electrician,8464,Intermediate,Contract
40229,Worker_229,Carpenter,4590,Intermediate,Contract
40230,Worker_230,Carpenter,7490,Junior,Contract
40231,Worker_231,Painter,2530,Junior,Permanent
40232,Worker_232,Electrician,5456,Junior,Permanent
40233,Worker_233,Electrician,6043,Intermediate,Permanent
40234,Worker_234,Plumber,6212,Junior,Permanent
40235,Worker_235,Welder,6180,Expert,Permanent
40236,Worker_236,Operator,6263,Intermediate,Contract
40237,Worker_237,Plumber,6443,Senior,Contract
40238,Worker_238,Operator,8959,Senior,Contract
40239,Worker_239,Welder,3761,Senior,Permanent
40240,Worker_240,Mason,2642,Expert,Contract
40241,Worker_241,Electrician,7662,Expert,Permanent
40242,Worker_242,Operator,6926,Junior,Permanent
40243,Worker_243,Mason,6131,Expert,Permanent
40244,Worker_244,Mason,9263,Junior,Permanent
40245,Worker_245,Electrician,3860,Senior,Permanent
40246,Worker_246,Mason,3992,Intermediate,Permanent
40247,Worker_247,Plumber,9699,Expert,Permanent
40248,Worker_248,Painter,7761,Senior,Permanent
40249,Worker_249,Electrician,8003,Junior,Contract
40250,Worker_250,Electrician,7598,Junior,Contract
40251,Worker_251,Plumber,7444,Expert,Permanent
40252,Worker_252,Carpenter,8662,Junior,Permanent
40253,Worker_253,Plumber,2222,Expert,Contract
40254,Worker_254,Carpenter,7959,Junior,Contract
40255,Worker_255,Welder,6843,Intermediate,Permanent
40256,Worker_256,Painter,2155,Junior,Contract
40257,Worker_257,Operator,2986,Junior,Contract
40258,Worker_258,Mason,5913,Expert,Permanent
40259,Worker_259,Welder,2113,Intermediate,Contract
40260,Worker_260,Welder,4396,Expert,Permanent
40261,Worker_261,Operator,7672,Senior,Permanent
40262,Worker_262,Operator,3322,Senior,Permanent
40263,Worker_263,Plumber,9334,Expert,Contract
40264,Worker_264,Plumber,4696,Expert,Permanent
40265,Worker_265,Plumber,7860,Junior,Permanent
40266,Worker_266,Painter,2074,Senior,Contract
40267,Worker_267,Mason,2606,Expert,Contract
40268,Worker_268,Mason,6531,Senior,Contract
40269,Worker_269,Painter,4581,Senior,Contract
40270,Worker_270,Plumber,3247,Expert,Contract
40271,Worker_271,Welder,8041,Intermediate,Permanent
40272,Worker_272,Welder,5141,Expert,Permanent
40273,Worker_273,Electrician,6574,Intermediate,Permanent
40274,Worker_274,Welder,5501,Junior,Contract
40275,Worker_275,Electrician,9403,Senior,Permanent
40276,Worker_276,Carpenter,4975,Senior,Permanent
40277,Worker_277,Electrician,9990,Intermediate,Permanent
40278,Worker_278,Electrician,8364,Senior,Permanent
40279,Worker_279,Plumber,5512,Junior,Contract
40280,Worker_280,Painter,2930,Expert,Contract
40281,Worker_281,Plumber,5578,Expert,Contract
40282,Worker_282,Carpenter,9709,Intermediate,Contract
40283,Worker_283,Plumber,4364,Intermediate,Permanent
40284,Worker_284,Welder,5095,Senior,Contract
40285,Worker_285,Plumber,3367,Junior,Permanent
40286,Worker_286,Operator,4071,Intermediate,Permanent
40287,Worker_287,Mason,5497,Intermediate,Permanent
40288,Worker_288,Carpenter,2322,Intermediate,Permanent
40289,Worker_289,Welder,5410,Junior,Contract
40290,Worker_290,Welder,8797,Expert,Permanent
40291,Worker_291,Electrician,5206,Senior,Contract
40292,Worker_292,Painter,4184,Junior,Contract
40293,Worker_293,Welder,7712,Senior,Permanent
40294,Worker_294,Operator,9622,Junior,Contract
40295,Worker_295,Mason,8523,Intermediate,Contract
40296,Worker_296,Welder,9706,Intermediate,Contract
40297,Worker_297,Electrician,9485,Junior,Contract
40298,Worker_298,Painter,6952,Junior,Permanent
40299,Worker_299,Mason,3957,Junior,Contract
40300,Worker_300,Mason,8732,Intermediate,Contract
40301,Worker_301,Carpenter,4159,Expert,Permanent
40302,Worker_302,Painter,6417,Intermediate,Contract
40303,Worker_303,Welder,5336,Senior,Permanent
40304,Worker_304,Mason,4184,Expert,Permanent
40305,Worker_305,Welder,5494,Intermediate,Contract
40306,Worker_306,Mason,9721,Junior,Permanent
40307,Worker_307,Mason,9365,Expert,Permanent
40308,Worker_308,Electrician,2045,Intermediate,Contract
40309,Worker_309,Operator,5808,Intermediate,Contract
40310,Worker_310,Electrician,2408,Junior,Contract
40311,Worker_311,Electrician,9701,Intermediate,Contract
40312,Worker_312,Plumber,2394,Expert,Permanent
40313,Worker_313,Plumber,8752,Junior,Permanent
40314,Worker_314,Painter,7229,Intermediate,Permanent
40315,Worker_315,Plumber,2146,Senior,Permanent
40316,Worker_316,Carpenter,4150,Intermediate,Contract
40317,Worker_317,Electrician,5737,Expert,Permanent
40318,Worker_318,Mason,9882,Intermediate,Permanent
40319,Worker_319,Painter,2765,Senior,Contract
40320,Worker_320,Welder,4131,Junior,Permanent
40321,Worker_321,Mason,5735,Junior,Contract
40322,Worker_322,Welder,8470,Expert,Permanent
40323,Worker_323,Operator,7008,Junior,Permanent
40324,Worker_324,Carpenter,3655,Junior,Contract
40325,Worker_325,Welder,3288,Intermediate,Permanent
40326,Worker_326,Carpenter,5533,Expert,Contract
40327,Worker_327,Welder,9732,Senior,Contract
40328,Worker_328,Plumber,8791,Intermediate,Permanent
40329,Worker_329,Operator,5570,Junior,Contract
40330,Worker_330,Mason,9272,Expert,Contract
40331,Worker_331,Plumber,2593,Intermediate,Permanent
40332,Worker_332,Painter,2834,Expert,Contract
40333,Worker_333,Painter,4112,Expert,Contract
40334,Worker_334,Welder,4309,Intermediate,Contract
40335,Worker_335,Electrician,7369,Junior,Permanent
40336,Worker_336,Painter,6681,Expert,Contract
40337,Worker_337,Welder,4596,Expert,Contract
40338,Worker_338,Painter,3843,Expert,Permanent
40339,Worker_339,Operator,2911,Intermediate,Permanent
40340,Worker_340,Carpenter,6513,Senior,Permanent
40341,Worker_341,Mason,9661,Expert,Contract
40342,Worker_342,Electrician,6788,Senior,Permanent
40343,Worker_343,Painter,3454,Intermediate,Permanent
40344,Worker_344,Electrician,2304,Junior,Contract
40345,Worker_345,Painter,5379,Intermediate,Contract
40346,Worker_346,Electrician,6345,Senior,Permanent
40347,Worker_347,Mason,7944,Junior,Contract
40348,Worker_348,Plumber,9724,Senior,Permanent
40349,Worker_349,Painter,5820,Junior,Contract
40350,Worker_350,Plumber,2143,Intermediate,Permanent
40351,Worker_351,Mason,9025,Intermediate,Permanent
40352,Worker_352,Electrician,3938,Junior,Permanent
40353,Worker_353,Operator,4112,Intermediate,Contract
40354,Worker_354,Mason,8453,Expert,Permanent
40355,Worker_355,Carpenter,2199,Senior,Permanent
40356,Worker_356,Operator,3333,Senior,Permanent
40357,Worker_357,Carpenter,4255,Senior,Contract
40358,Worker_358,Electrician,5770,Expert,Permanent
40359,Worker_359,Painter,9746,Expert,Contract
40360,Worker_360,Operator,2425,Intermediate,Permanent
40361,Worker_361,Carpenter,9425,Senior,Permanent
40362,Worker_362,Mason,4359,Intermediate,Permanent
40363,Worker_363,Painter,4870,Senior,Permanent
40364,Worker_364,Mason,7268,Expert,Contract
40365,Worker_365,Welder,4382,Senior,Contract
40366,Worker_366,Carpenter,8374,Junior,Contract
40367,Worker_367,Carpenter,3613,Intermediate,Permanent
40368,Worker_368,Carpenter,2477,Intermediate,Permanent
40369,Worker_369,Painter,3882,Senior,Permanent
40370,Worker_370,Electrician,6779,Junior,Contract
40371,Worker_371,Operator,7229,Intermediate,Contract
40372,Worker_372,Carpenter,6163,Junior,Contract
40373,Worker_373,Welder,7831,Intermediate,Permanent
40374,Worker_374,Mason,2781,Expert,Contract
40375,Worker_375,Electrician,2380,Senior,Contract
40376,Worker_376,Carpenter,8994,Expert,Contract
40377,Worker_377,Operator,5926,Intermediate,Contract
40378,Worker_378,Operator,4018,Intermediate,Permanent
40379,Worker_379,Welder,7317,Expert,Contract
40380,Worker_380,Painter,7234,Intermediate,Contract
40381,Worker_381,Carpenter,8932,Intermediate,Contract
40382,Worker_382,Plumber,2679,Junior,Contract
40383,Worker_383,Painter,3475,Expert,Permanent
40384,Worker_384,Operator,6429,Intermediate,Permanent
40385,Worker_385,Electrician,5982,Senior,Permanent
40386,Worker_386,Mason,8803,Junior,Permanent
40387,Worker_387,Electrician,8375,Expert,Permanent
40388,Worker_388,Welder,8059,Senior,Permanent
40389,Worker_389,Plumber,6589,Junior,Permanent
40390,Worker_390,Painter,3318,Intermediate,Contract
40391,Worker_391,Carpenter,2477,Junior,Permanent
40392,Worker_392,Mason,5450,Senior,Permanent
40393,Worker_393,Welder,5216,Junior,Contract
40394,Worker_394,Electrician,6464,Intermediate,Contract
40395,Worker_395,Welder,7383,Junior,Contract
40396,Worker_396,Mason,9983,Junior,Permanent
40397,Worker_397,Painter,7986,Senior,Permanent
40398,Worker_398,Welder,4171,Junior,Contract
40399,Worker_399,Plumber,5318,Expert,Contract
40400,Worker_400,Electrician,9375,Expert,Contract
40401,Worker_401,Carpenter,5232,Expert,Permanent
40402,Worker_402,Operator,9152,Intermediate,Permanent
40403,Worker_403,Carpenter,3007,Junior,Permanent
40404,Worker_404,Operator,8761,Junior,Permanent
40405,Worker_405,Operator,2084,Intermediate,Contract
40406,Worker_406,Electrician,8603,Intermediate,Contract
40407,Worker_407,Painter,4233,Junior,Permanent
40408,Worker_408,Electrician,8375,Junior,Contract
40409,Worker_409,Painter,4104,Expert,Contract
40410,Worker_410,Electrician,3248,Junior,Permanent
40411,Worker_411,Welder,4210,Intermediate,Contract
40412,Worker_412,Electrician,9505,Expert,Contract
40413,Worker_413,Electrician,5524,Expert,Contract
40414,Worker_414,Mason,2501,Expert,Contract
40415,Worker_415,Plumber,5721,Senior,Contract
40416,Worker_416,Welder,5246,Intermediate,Permanent
40417,Worker_417,Electrician,3385,Intermediate,Contract
40418,Worker_418,Operator,9281,Expert,Contract
40419,Worker_419,Plumber,5726,Expert,Permanent
40420,Worker_420,Welder,4380,Junior,Contract
40421,Worker_421,Operator,5200,Intermediate,Permanent
40422,Worker_422,Welder,8645,Senior,Permanent
40423,Worker_423,Mason,8970,Junior,Permanent
40424,Worker_424,Painter,6256,Junior,Permanent
40425,Worker_425,Welder,8758,Intermediate,Contract
40426,Worker_426,Plumber,4058,Senior,Permanent
40427,Worker_427,Mason,4726,Junior,Contract
40428,Worker_428,Mason,6798,Intermediate,Contract
40429,Worker_429,Welder,3445,Senior,Permanent
40430,Worker_430,Plumber,6827,Expert,Permanent
40431,Worker_431,Plumber,9030,Expert,Contract
40432,Worker_432,Carpenter,9178,Expert,Contract
40433,Worker_433,Carpenter,2353,Senior,Permanent
40434,Worker_434,Carpenter,5163,Intermediate,Contract
40435,Worker_435,Welder,6301,Junior,Permanent
40436,Worker_436,Operator,5880,Intermediate,Contract
40437,Worker_437,Operator,3929,Intermediate,Contract
40438,Worker_438,Electrician,7605,Expert,Contract
40439,Worker_439,Carpenter,4329,Senior,Contract
40440,Worker_440,Carpenter,3822,Junior,Contract
40441,Worker_441,Plumber,8071,Senior,Permanent
40442,Worker_442,Carpenter,3340,Junior,Contract
40443,Worker_443,Mason,5699,Expert,Permanent
40444,Worker_444,Painter,7269,Expert,Permanent
40445,Worker_445,Welder,9006,Intermediate,Contract
40446,Worker_446,Welder,7914,Expert,Permanent
40447,Worker_447,Carpenter,2957,Expert,Contract
40448,Worker_448,Mason,5352,Senior,Permanent
40449,Worker_449,Welder,7803,Senior,Contract
40450,Worker_450,Electrician,9063,Expert,Permanent
40451,Worker_451,Painter,2976,Junior,Contract
40452,Worker_452,Welder,6357,Senior,Contract
40453,Worker_453,Electrician,5502,Junior,Contract
40454,Worker_454,Mason,2143,Expert,Contract
40455,Worker_455,Mason,4656,Expert,Permanent
40456,Worker_456,Carpenter,3100,Senior,Contract
40457,Worker_457,Electrician,5049,Junior,Permanent
40458,Worker_458,Plumber,5913,Expert,Contract
40459,Worker_459,Mason,3556,Expert,Permanent
40460,Worker_460,Electrician,2870,Senior,Permanent
40461,Worker_461,Electrician,4095,Junior,Permanent
40462,Worker_462,Mason,2952,Intermediate,Permanent
40463,Worker_463,Welder,9937,Senior,Permanent
40464,Worker_464,Painter,8332,Senior,Contract
40465,Worker_465,Welder,8955,Expert,Permanent
40466,Worker_466,Operator,8794,Senior,Contract
40467,Worker_467,Mason,8477,Intermediate,Contract
40468,Worker_468,Mason,2696,Junior,Contract
40469,Worker_469,Carpenter,4037,Expert,Contract
40470,Worker_470,Welder,7432,Intermediate,Contract
40471,Worker_471,Welder,9233,Junior,Contract
40472,Worker_472,Mason,7900,Intermediate,Contract
40473,Worker_473,Carpenter,7130,Senior,Permanent
40474,Worker_474,Electrician,9178,Senior,Permanent
40475,Worker_475,Plumber,4994,Senior,Permanent
40476,Worker_476,Operator,4737,Expert,Contract
40477,Worker_477,Painter,7107,Intermediate,Permanent
40478,Worker_478,Carpenter,5786,Senior,Permanent
40479,Worker_479,Carpenter,8651,Senior,Contract
40480,Worker_480,Electrician,9276,Junior,Permanent
40481,Worker_481,Welder,7095,Expert,Permanent
40482,Worker_482,Painter,3705,Senior,Permanent
40483,Worker_483,Plumber,6201,Intermediate,Permanent
40484,Worker_484,Carpenter,2579,Junior,Contract
40485,Worker_485,Mason,8507,Intermediate,Permanent
40486,Worker_486,Painter,4121,Junior,Contract
40487,Worker_487,Carpenter,2308,Senior,Permanent
40488,Worker_488,Operator,8648,Senior,Permanent
40489,Worker_489,Painter,6888,Senior,Contract
40490,Worker_490,Carpenter,3573,Senior,Permanent
40491,Worker_491,Painter,2462,Expert,Contract
40492,Worker_492,Operator,9458,Senior,Contract
40493,Worker_493,Carpenter,7875,Senior,Contract
40494,Worker_494,Carpenter,9199,Junior,Permanent
40495,Worker_495,Painter,4506,Expert,Permanent
40496,Worker_496,Painter,6706,Intermediate,Permanent
40497,Worker_497,Plumber,4286,Expert,Contract
40498,Worker_498,Welder,9504,Intermediate,Permanent
40499,Worker_499,Electrician,9623,Intermediate,Permanent
40500,Worker_500,Painter,9011,Junior,Contract
